itype,source,value
mal_md5,Proofpoint,d2fad779289732d1edf932b62278eb3090eb814d624f2e0a4fbbc613495c55e8
mal_md5,Proofpoint,30584f13c0a9d0c86562c803de350432d5a0607a06b24481ad4d92cdf7288213
mal_md5,VCYBER,69c3a92757f79a0020cf1711cda4a724633d535f75bbef2bd74e07a902831d59
mal_md5,VCYBER,02f4186b532b3e33a5cd6d9a39d9469b8d9c12df7cb45dba6dcab912b03e3cb8
mal_md5,VCYBER,5cd4003ccaa479734c7f5a01c8ff95891831a29d857757bbd7fe4294f3c5c126
apt_domain,FirstEnergy,nca.zip
apt_md5,FirstEnergy,902c88d51e3cb6c3c11413a7a50df300f0d481ec
apt_md5,FirstEnergy,a24f7169f7f6f4f470fc21f8789efeaf96edb581479db9e8dea2e3130fbc559f
apt_md5,FirstEnergy,0b230b83c0b4af6e13ad837c35121d0827f5a243855a5d8a80e299b9c91ad5ae
apt_md5,FirstEnergy,479b235adaa09fb5be9abb618ef56856
apt_md5,FirstEnergy,8953ea5dcd8d32a518bb0286cc6482ed54ba8307
apt_md5,FirstEnergy,3e4527351299a7834b0276cad9d4cd76
apt_md5,FirstEnergy,322aa24faad3da5bcd4a199be68f9b47a518dfa1
apt_md5,FirstEnergy,0c61effe0c06d57835ead4a574dde992515b9382
apt_md5,FirstEnergy,dcfa9caa969ebc373daf4f1e846c95abf65cdd46
apt_md5,FirstEnergy,c07a655602adc775b1c2b75dc80df820
apt_md5,FirstEnergy,30584f13c0a9d0c86562c803de350432d5a0607a06b24481ad4d92cdf7288213
apt_md5,FirstEnergy,75ec9f68a5b62705c115db5119a78134
apt_md5,FirstEnergy,b4f10039927b040f0470b956c74a31b4
apt_md5,FirstEnergy,0b70042cd435e30a2c2583eb62b2e4c4bd69bbefc6b9f359e0fae02dc6a3dd4e
apt_md5,FirstEnergy,25790c14bd47393b6470247127b92b749bfd356fc04e8d08b0ac730138c665b4
apt_md5,FirstEnergy,4d688086cd47a23444b2329fbd83a3740c40d0ca
apt_md5,FirstEnergy,8103cbffd4f7651c32a1cc602f0398027fb3207f
apt_md5,FirstEnergy,995d22ede53ba9243ea82ab6e166df240880759cc9160acc6a1ee9efb8db591c
apt_md5,FirstEnergy,0eda89ce30f45f77eecc967ed71128bbb4666c37
apt_md5,FirstEnergy,e7a3928badee5f2ec085fd773944b75d
apt_md5,FirstEnergy,648aa0270b39553fda4a2c3b03129a47
apt_md5,FirstEnergy,48b74a60787e54387294ac125b7ed128
apt_md5,FirstEnergy,602d71d51d266c805b8afd4289851218
apt_md5,FirstEnergy,5304b37e58964835f00e3b016aebe4ef
apt_md5,FirstEnergy,f68285cea41de3333b1521ac8c358231ea6da23c
apt_md5,FirstEnergy,33ef024f7714441fd58d95eeed6ec742
apt_md5,FirstEnergy,a5a160f11593ee4b43723244b2aac6f06733329cef1d101e34ff5c880662caf4
apt_md5,FirstEnergy,2f8f633a11b5c642dcf37bfdbfa92434c9ca0b01
apt_md5,FirstEnergy,d65b31617c9b8c644748d520242e8c363622894628ec46a63c1630ef648ce89c
apt_md5,FirstEnergy,85d5c21050bd72c4ee02060d0be234ac35babc785567dca5bfc1d299150576b7
apt_md5,FirstEnergy,acee43e0e5fac81b299dfc9558ab4163ebb50c43
apt_md5,FirstEnergy,c59b2d6a70bc5b84998aebb2d21241a8adef33724838e92db4dee36a1ce46f43
apt_md5,FirstEnergy,1cafe3979fbd529129440e058b8ed8e0d4e283325dee448816d3aa354f7c412a
apt_md5,FirstEnergy,9349ea8ced1760c155945bc13af4989e2ea03aed
apt_md5,FirstEnergy,d8cb376fe7a6cf7998b375333a4c4fe6f3312342
apt_md5,FirstEnergy,d49c16ae1caa2a83e3494c4b4eeb841a38137b65
apt_md5,FirstEnergy,4a44a85791c006e05dd13b9fef62a288
apt_md5,FirstEnergy,525b00fc379589a73ebd6471e440220c886b969332360e17fb44d5175b3d945e
apt_md5,FirstEnergy,d1d879c9294b9e8f41d76fd2cdb6ed7ff8d10462
apt_md5,FirstEnergy,6451c6a0488c08b904c6b6eea47d6384
apt_md5,FirstEnergy,a5241e7e4054f194248611ba4f3a80e671f432fd
apt_md5,FirstEnergy,6209f948992fd18d4fc6fc6f89d9815369ac8931
apt_md5,FirstEnergy,033cd6d6f8eb929ded98297112fb90ec
apt_md5,FirstEnergy,307d55c4622be2ac995dda4146fc8d15
apt_md5,FirstEnergy,ad90e16ea4a9fe11525da7669cb4b8ee
apt_md5,FirstEnergy,87c1d51cea91b80dd236b1f2ef12d78867ece1ca
apt_md5,FirstEnergy,de3bec1ab389a8ea2b5a985aefbb2d642785a938
apt_md5,FirstEnergy,697e5c66b37dca99fc17ba919792e7429efbff1df26cea3c26866eff269b0055
apt_md5,FirstEnergy,9a61c57f23a4ecccfd1983070889742fc80854ce5673ebb6707ea77d86c2fc29
apt_md5,FirstEnergy,340973db60d7943d3cfff468fbdbdd2b
apt_md5,FirstEnergy,76d9501e9770a7dad528ebcbebdd723cecccf0ee
apt_md5,FirstEnergy,882f067a9a1019605bc13c8475af6955
apt_md5,FirstEnergy,587ba76a5424e80fac4b1d8d13435a9d1f3e669d
apt_md5,FirstEnergy,3acf392f58575ef6e6fe991299e686de7dce260319b21b6e2cf31f8e68ffa17e
apt_md5,FirstEnergy,c04b0850896eee4675294b6a6f1c6125ccfcc284
apt_md5,FirstEnergy,1c0d0bee70b5a82bf8a9a8abef52acb7
apt_md5,FirstEnergy,5503f926631aec5bc21e4e2b698a698b243521a2f62f5ff24dda6b6f9c9f2d76
apt_md5,FirstEnergy,192dd5a05df224f37df06c4d57649e1ea06c2f10
apt_md5,FirstEnergy,27cd090cf83877750416d37dc6ddd8ff319b4854414e4275d67f96652376bcf0
apt_md5,FirstEnergy,aeb6928db14a89b7c8d33f62ee6c17f25b46e936b6b9fb8be11f4019c4c5fe8c
apt_md5,FirstEnergy,7b78030caef01987965b23ff9af6c60f68380a02
apt_md5,FirstEnergy,720eefb3a1c668f8befc2b365a369d76
apt_md5,FirstEnergy,c7df673e7071140ebb657f6f6ed387d45a0dc68d
apt_md5,FirstEnergy,cb23e26cc45ed9aa58fdce155e7da31a
apt_md5,FirstEnergy,65e440b5aee156fa6de192d2361302f3aa0665cc
apt_md5,FirstEnergy,d764529d82a015204d9ab3fe414c0da5b9829d9a
apt_md5,FirstEnergy,b4fd0de1f29a8d069eb77ab7941d4de925a4c5b7
apt_md5,FirstEnergy,0d5bf64383a59932c34de7170557aac8b3e124b0b3f3fbf284af070b6877ce86
apt_md5,FirstEnergy,f5380e7a6e15a0ef27e6f31fcc29ed4d
apt_md5,FirstEnergy,1cfd4e891938500e5a94b947545160f4a85d6efa610c9dcea50080171d217232
apt_md5,FirstEnergy,1b146f0d67b8fcec12ffb06005f7d358
apt_md5,FirstEnergy,b0c489a139435bbdf7b565fa70733b7fda1c660e
apt_md5,FirstEnergy,a414da7fee69100b27d349a7ffc2f144
apt_md5,FirstEnergy,58ed2920063d16078decd59bcf02229022dc15d4f3a4c96fca6d2b8752322ec9
apt_md5,FirstEnergy,ae22f9da201032d007a0b3f54c3a53ea7a41292bba6e9855d48dd21b55c048ae
apt_md5,FirstEnergy,7f07fd94e5bb907093556781cc464017
apt_md5,FirstEnergy,a9b16e05a1d39241f710f1c686b85036
apt_md5,FirstEnergy,a5d1dd8ac2854dbfe68245c79ce7c3e9f53b458b
apt_md5,FirstEnergy,18a6ee322f30fe17f896686fbc162e4c8d628e5a
apt_md5,FirstEnergy,1652ce569f0693df00662fbf8a37a3fa35bafc2ec304b91552bb45f7a3d6c4ca
apt_md5,FirstEnergy,01ea7197094b9acd50605bda611111eaa822230f81a3cac4b47a2f9d01e146c1
apt_md5,FirstEnergy,2fec3ab587e6b5533b4c6b3c11dd357a
apt_md5,FirstEnergy,a51493ca2948491e60759223c3be8502
apt_md5,FirstEnergy,96a60e9e25f4cf99f2f71d4c4b783ff22d2db1d18673b1f0f47f1452087e2565
apt_md5,FirstEnergy,bb2140b7279330dc5a714b0ac64b74fa3253be8c
apt_md5,FirstEnergy,d9e43fdcb1848c89f06f4bd9ea389f27
apt_md5,FirstEnergy,ca64ca50a07e1936fe00f2ff8509f03c5e1b3826
apt_md5,FirstEnergy,1c8ae597adb4233cd8b3b88c7aafb419
apt_md5,FirstEnergy,619c3496cb1494bcabbae38bf78bceb501608a7a
apt_md5,FirstEnergy,e87978f0af9bb550ab4686a7d3657e6cbfd92347744dfce8ff2321781ac2eee0
apt_md5,FirstEnergy,92145633823ed4a4c56915ab81f6bc0582fd27700d8515400edd0a153d39829f
apt_md5,FirstEnergy,1302f0a89177be8c5819bbdb67f1d5f8
apt_md5,FirstEnergy,64e1ff22f2fa4bd22982bee7c1799b3b9d5593d4ac8a8bb3194f23738e38d8ab
apt_md5,FirstEnergy,70ec272e340360c8d66ac0cc4bef82426ba23cb5